id_partido,equipo,minutos,puntos,T2 encestados,T2 totales,% T2,T3 encestados,T3 totales,% T3,TC encestados,TC totales,% TC,TL encestados,TL totales,% TL,rebotes_ofensivos,rebotes_defensivos,rebotes_totales,asistencias,recuperaciones,perdidas,tapones_favor,tapones_contra,mates,faltas_cometidas,faltas_recibidas,valoracion
2341563,CACERES PATRIMONIO DE LA HUMANIDAD,200:00,79,21,39,53.8,10,34,29.4,31,73,42.5,7,12,58.3,12,15,27,14,8,7,0,1,0,22,19,71
2341563,UEMC REAL VALLADOLID BALONCESTO,200:00,87,22,37,59.5,9,22,40.9,31,59,52.5,16,18,88.9,7,25,32,13,4,11,1,0,1,19,22,99
2341564,AMICS CASTELLÓ,200:00,80,21,42,50.0,7,18,38.9,28,60,46.7,17,26,65.4,6,18,24,20,5,9,3,2,1,18,24,88
2341564,GUUK GIPUZKOA BASKET,200:00,90,27,42,64.3,9,22,40.9,36,64,56.3,9,16,56.3,11,26,37,26,5,12,2,3,0,25,17,105
2341565,LEYMA CORUÑA,200:00,100,18,32,56.3,15,30,50.0,33,62,53.2,19,22,86.4,9,13,22,24,8,11,4,3,0,22,25,118
2341565,RIOVERDE CLAVIJO,200:00,77,16,27,59.3,9,20,45.0,25,47,53.2,18,23,78.3,3,18,21,20,6,22,3,4,0,25,20,73
2341566,BALONCESTO FUENLABRADA,200:00,73,19,35,54.3,8,25,32.0,27,60,45.0,11,14,78.6,4,30,34,17,4,13,1,2,0,21,18,77
2341566,ICG FORÇA LLEIDA,200:00,75,15,26,57.7,11,35,31.4,26,61,42.6,12,22,54.5,4,19,23,22,8,7,2,1,2,18,20,80
2341567,REAL BETIS BALONCESTO,200:00,80,19,28,67.9,8,25,32.0,27,53,50.9,18,20,90.0,5,25,30,9,5,10,1,2,2,18,20,89
2341567,GRUPO ALEGA CANTABRIA,200:00,70,17,40,42.5,7,25,28.0,24,65,36.9,15,17,88.2,8,20,28,6,7,6,2,1,3,20,18,62
2341568,MELILLA CIUDAD DEL DEPORTE,176:04,68,12,27,44.4,11,24,45.8,23,51,45.1,11,13,84.6,9,20,29,19,6,7,1,0,0,17,14,83
2341568,MOVISTAR ESTUDIANTES,200:00,81,18,32,56.3,13,27,48.1,31,59,52.5,6,9,66.7,5,22,27,16,4,13,0,1,0,17,17,84
2341569,GRUPO URETA TIZONA BURGOS,200:00,80,17,48,35.4,12,34,35.3,29,82,35.4,10,13,76.9,25,24,49,19,13,20,1,1,3,22,18,82
2341569,AMICS CASTELLÓ,200:00,66,19,40,47.5,5,14,35.7,24,54,44.4,13,18,72.2,5,20,25,15,8,20,1,1,3,20,22,62
2341570,CACERES PATRIMONIO DE LA HUMANIDAD,200:00,64,21,38,55.3,1,14,7.1,22,52,42.3,19,32,59.4,6,33,39,11,5,10,1,0,1,21,24,70
2341570,REAL BETIS BALONCESTO,200:00,61,14,28,50.0,7,34,20.6,21,62,33.9,12,16,75.0,5,26,31,12,7,8,0,1,0,24,21,55
2341571,GUUK GIPUZKOA BASKET,200:00,80,24,46,52.2,6,20,30.0,30,66,45.5,14,19,73.7,20,22,42,8,3,14,1,1,2,18,19,80
2341571,LONGEVIDA SAN PABLO BURGOS,200:00,78,18,37,48.6,10,33,30.3,28,70,40.0,12,17,70.6,14,12,26,9,8,5,1,1,0,19,18,69
2341572,ICG FORÇA LLEIDA,200:00,90,18,40,45.0,13,28,46.4,31,68,45.6,15,20,75.0,10,21,31,15,1,8,5,8,1,15,19,96
2341572,ALIMERKA OVIEDO BALONCESTO,200:00,84,21,40,52.5,13,30,43.3,34,70,48.6,3,7,42.9,11,23,34,21,7,8,8,5,1,19,15,102
2341573,RIOVERDE CLAVIJO,200:00,58,13,33,39.4,6,25,24.0,19,58,32.8,14,21,66.7,13,19,32,8,6,13,4,1,0,25,19,43
2341573,BALONCESTO FUENLABRADA,200:00,67,17,37,45.9,5,16,31.3,22,53,41.5,18,23,78.3,8,25,33,8,7,11,1,4,1,20,25,74
2341574,MOVISTAR ESTUDIANTES,200:00,76,12,26,46.2,12,35,34.3,24,61,39.3,16,24,66.7,13,21,34,21,6,10,1,0,0,19,24,88
